# DENSE decode program-config sweep, per-device TP=4 shapes. grid 11x10
# columns: role M K N family cores in0_block_w per_core_N us spread
# --- attn_in M=32 K=2048 N=2560 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 9216)
DENSE shared_down 32 128 2048 mcast1d 88 4 1 14.62 0.32
DENSE shared_down 32 128 2048 mcast1d 88 4 1 9.88 4.89
DENSE shared_down 32 128 2048 mcast1d 88 4 1 9.87 0.23
DENSE shared_down 32 128 2048 mcast1d 88 4 1 9.81 0.17
DENSE shared_down 32 128 2048 mcast1d 110 1 1 9.85 1.03
DENSE shared_down 32 128 2048 mcast1d 110 2 1 9.79 1.30
DENSE shared_down 32 128 2048 mcast1d 110 4 1 10.00 0.66
DENSE shared_down 32 128 2048 mcast1d 110 4 1 9.75 0.39
DENSE shared_down 32 128 2048 mcast1d 110 4 1 9.88 0.13
DENSE shared_down 32 128 2048 mcast1d 110 4 1 9.87 0.54
# --- router M=32 K=2048 N=256 weight=bfloat16 fidelity=HiFi4 single_chip=(2048, 256)
DENSE router 32 2048 256 default - - - 56.17 0.14
DENSE router 32 2048 256 mcast1d 4 1 2 45.90 0.10
DENSE router 32 2048 256 mcast1d 4 2 2 26.04 0.15
DENSE router 32 2048 256 mcast1d 4 4 2 16.39 0.12
DENSE router 32 2048 256 mcast1d 4 8 2 11.86 0.08
DENSE router 32 2048 256 mcast1d 4 16 2 10.75 0.18
DENSE router 32 2048 256 mcast1d 4 32 2 11.65 0.13
DENSE router 32 2048 256 mcast1d 8 1 1 46.11 0.11
DENSE router 32 2048 256 mcast1d 8 2 1 26.11 0.08
DENSE router 32 2048 256 mcast1d 8 4 1 16.08 0.11
DENSE router 32 2048 256 mcast1d 8 8 1 12.24 1.11
DENSE router 32 2048 256 mcast1d 8 16 1 12.77 0.33
DENSE router 32 2048 256 mcast1d 8 32 1 12.76 0.25
DENSE router 32 2048 256 mcast1d 22 1 1 45.96 0.14
DENSE router 32 2048 256 mcast1d 22 2 1 26.17 0.06
DENSE router 32 2048 256 mcast1d 22 4 1 16.20 0.04
DENSE router 32 2048 256 mcast1d 22 8 1 11.38 0.10
DENSE router 32 2048 256 mcast1d 22 16 1 9.24 0.21
