# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCLPKT 4352 prefill_2048 rs_only_linear eager 176.55 0.999997
CCLPKT 4352 prefill_2048 rs_only_linear trace 174.38 0.999997
CCLPKT 4352 prefill_2048 ag_stack_sum eager 446.97 0.999998
CCLPKT 4352 prefill_2048 ag_stack_sum trace 447.46 0.999998
CCLPKT 4352 prefill_2048 all_reduce_async eager 343.70 0.999997
CCLPKT 4352 prefill_2048 all_reduce_async trace 341.62 0.999997
CCLPKT 4352 prefill_2048 all_reduce_async_l1 eager 336.10 0.999997
CCLPKT 4352 prefill_2048 all_reduce_async_l1 trace 334.38 0.999997
# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCLBF8 decode all_reduce_ring eager 125.12 0.999945
